@relation 'Copy of credit-g-attr10cleaned2numeric3'

@attribute Case numeric
@attribute Checking_status numeric
@attribute Credit_history numeric
@attribute Credit_amount numeric
@attribute Saving_status numeric
@attribute Employment numeric
@attribute Personal_status numeric
@attribute Age numeric
@attribute Class numeric

@data
1,-1,-1,1169,-1,1,1,67,100
2,1,1,5951,1,1,-1,22,-100
3,-1,-1,2096,1,1,1,49,100
4,-1,1,7882,1,1,1,45,100
5,-1,-1,4870,1,1,1,53,-100
6,-1,1,9055,-1,1,1,35,100
7,-1,1,2835,1,1,1,53,100
8,1,1,6948,1,1,1,35,100
9,-1,1,3059,1,1,1,61,100
10,1,-1,5234,1,-1,1,28,-100
11,1,1,1295,1,1,-1,25,-100
12,-1,1,4308,1,1,-1,24,-100
13,1,1,1567,1,1,-1,22,100
14,-1,-1,1199,1,1,1,60,-100
15,-1,1,1403,1,1,-1,28,100
16,-1,1,1282,1,1,-1,32,-100
17,-1,-1,2424,-1,1,1,53,100
18,-1,1,8072,-1,1,1,25,100
19,1,1,12579,1,1,-1,44,-100
20,-1,1,3430,1,1,1,31,100
21,-1,-1,2134,1,1,1,48,100
22,-1,1,2647,1,1,1,44,100
23,-1,-1,2241,1,1,1,48,100
24,1,-1,1804,1,1,1,44,100
25,-1,-1,2069,-1,1,1,26,100
26,-1,1,1374,1,1,1,60,100
27,-1,1,426,1,1,1,39,100
28,1,1,409,1,1,-1,42,100
29,1,1,2415,1,1,1,34,100
30,-1,-1,6836,1,1,1,63,-100
31,1,1,1913,1,1,1,36,100
32,-1,1,4020,1,1,1,27,100
33,1,1,5866,1,1,1,30,100
34,-1,-1,1264,-1,1,1,57,100
35,1,1,1474,1,1,-1,33,100
36,1,-1,4746,1,1,1,25,-100
37,-1,-1,6110,1,1,1,31,100
38,1,1,2100,1,1,1,37,-100
39,1,1,1225,1,1,1,37,100
40,1,1,458,1,1,1,24,100
41,-1,1,2333,1,1,1,30,100
42,1,1,1158,1,1,1,26,100
43,1,-1,6204,1,1,1,44,100
44,-1,-1,6187,1,1,1,24,100
45,-1,-1,6143,1,1,-1,58,-100
46,-1,-1,1393,1,1,-1,35,100
47,-1,1,2299,1,1,1,39,100
48,-1,1,1352,1,-1,-1,23,100
49,-1,-1,7228,1,1,1,39,100
50,-1,1,2073,1,1,-1,28,100
51,1,-1,2333,-1,1,1,29,100
52,1,-1,5965,1,1,1,30,100
53,-1,1,1262,1,1,1,25,100
54,-1,1,3378,-1,1,1,21,100
55,1,-1,2225,1,1,1,57,-100
56,-1,1,783,-1,1,1,26,100
57,1,1,6468,-1,-1,1,52,-100
58,-1,-1,9566,1,1,-1,31,100
59,1,1,1961,1,1,-1,23,100
60,-1,-1,6229,1,1,-1,23,-100
61,1,1,1391,1,1,1,27,100
62,1,-1,1537,-1,1,1,50,100
63,1,1,1953,1,1,1,61,-100
64,1,1,14421,1,1,1,25,-100
65,-1,1,3181,1,1,-1,26,100
66,-1,1,5190,-1,1,1,48,100
67,-1,1,2171,1,1,-1,29,100
68,1,1,1007,1,1,1,22,100
69,-1,1,1819,1,1,1,37,-100
70,-1,1,2394,-1,1,-1,25,100
71,-1,1,8133,1,1,-1,30,100
72,-1,-1,730,-1,1,1,46,100
73,-1,-1,1164,1,1,1,51,100
74,1,-1,5954,1,1,-1,41,100
75,-1,1,1977,-1,1,1,40,-100
76,-1,-1,1526,1,1,1,66,100
77,-1,1,3965,1,1,1,34,-100
78,1,-1,4771,1,1,1,51,100
79,-1,1,9436,-1,1,1,39,100
80,1,1,3832,1,1,1,22,100
81,-1,1,5943,-1,1,-1,44,-100
82,-1,1,1213,1,1,1,47,100
83,-1,1,1568,1,1,-1,24,100
84,-1,1,1755,1,1,-1,58,100
85,-1,1,2315,1,1,1,52,100
86,-1,-1,1412,1,1,-1,29,100
87,1,-1,1295,1,1,-1,27,100
88,1,1,12612,1,1,1,47,-100
89,-1,1,2249,1,1,1,30,100
90,-1,1,1108,1,1,1,28,-100
91,-1,-1,618,1,1,1,56,100
92,-1,-1,1409,1,1,1,54,100
93,-1,-1,797,-1,1,-1,33,-100
94,1,-1,3617,-1,1,1,20,100
95,1,1,1318,1,1,1,54,100
96,1,1,15945,1,1,1,58,-100
97,-1,-1,2012,-1,1,-1,61,100
98,1,1,2622,1,1,1,34,100
99,1,-1,2337,1,1,1,36,100
100,1,-1,7057,-1,1,1,36,100
101,-1,1,1469,1,1,1,41,100
102,1,1,2323,1,1,1,24,100
103,-1,-1,932,1,1,-1,24,100
104,1,-1,1919,1,1,1,35,100
105,-1,1,2445,-1,1,1,26,100
106,1,-1,11938,1,1,1,39,-100
107,-1,1,6458,1,1,1,39,-100
108,1,1,6078,1,1,1,32,100
109,-1,1,7721,-1,1,-1,30,100
110,1,1,1410,1,1,1,35,100
111,1,-1,1449,1,1,1,31,100
112,1,1,392,1,1,-1,23,100
113,1,1,6260,1,1,1,28,100
114,-1,-1,7855,1,1,-1,25,-100
115,-1,1,1680,1,1,1,35,100
116,-1,-1,3578,-1,1,1,47,100
117,-1,1,7174,-1,1,-1,30,-100
118,-1,-1,2132,-1,1,-1,27,100
119,-1,-1,4281,1,1,-1,23,-100
120,1,-1,2366,1,1,1,36,100
121,-1,1,1835,1,1,-1,25,-100
122,-1,-1,3868,1,1,-1,41,100
123,-1,1,1768,1,1,1,24,100
124,1,-1,781,1,1,1,63,100
